,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
0,MARUTISWIFT,MARUTI,Kolkata,2020,2944,1,Petrol,474000,614799
1,MARUTISWIFT,MARUTI,Kolkata,2018,79345,1,Petrol,715000,484299
2,HYUNDAIEON,HYUNDAI,Kolkata,2018,2624,1,Petrol,468000,337399
3,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,10953,1,Petrol,140000,356599
4,HYUNDAIELITE I20,HYUNDAI,Kolkata,2019,21415,1,Petrol,474000,532899
5,MARUTISWIFT,MARUTI,Kolkata,2018,16301,1,Petrol,370000,559099
6,VOLKSWAGENPOLO,VOLKSWAGEN,Kolkata,2015,77595,1,Diesel,181000,359499
7,HYUNDAIEON,HYUNDAI,Kolkata,2014,23786,1,Petrol,140000,227499
8,TATATIAGO,TATA,Kolkata,2022,10687,1,Petrol,507000,577899
9,HYUNDAII20,HYUNDAI,Kolkata,2012,82883,2,Petrol,140000,289199
10,HYUNDAII10,HYUNDAI,Kolkata,2013,72059,2,Petrol,181000,252799
11,MAHINDRAXUV500,MAHINDRA,Kolkata,2019,7562,1,Diesel,474000,1405599
12,HYUNDAIEON,HYUNDAI,Kolkata,2012,48802,1,Petrol,140000,200099
13,MARUTIALTO,MARUTI,Kolkata,2010,22973,1,Petrol,72000,152999
14,MARUTIBALENO,MARUTI,Kolkata,2021,2781,1,Petrol,474000,770299
15,MARUTISWIFT,MARUTI,Kolkata,2019,21388,1,Petrol,474000,558899
16,MARUTIALTO 800,MARUTI,Kolkata,2015,35391,2,Petrol,140000,248099
17,HYUNDAICRETA,HYUNDAI,Kolkata,2018,39812,1,Petrol,169000,840199
18,MAHINDRATHAR,MAHINDRA,Kolkata,2019,12969,2,Diesel,474000,882999
19,MARUTIALTO 800,MARUTI,Kolkata,2018,3519,1,Petrol,169000,336699
20,MARUTICELERIO,MARUTI,Kolkata,2015,11362,1,Petrol,140000,380499
21,MARUTIALTO 800,MARUTI,Kolkata,2014,93106,1,Petrol,468000,239099
22,MARUTICELERIO,MARUTI,Kolkata,2021,7726,1,Petrol,474000,535699
23,VOLKSWAGENPOLO,VOLKSWAGEN,Kolkata,2020,24344,1,Petrol,715000,526299
24,MARUTIEECO,MARUTI,Kolkata,2022,870,1,Petrol,474000,527099
25,MARUTISWIFT DZIRE,MARUTI,Kolkata,2014,12792,1,Petrol,181000,448199
26,MARUTISWIFT DZIRE,MARUTI,Kolkata,2016,28164,2,Petrol,140000,401299
27,HYUNDAIVERNA,HYUNDAI,Kolkata,2018,31681,1,Petrol,169000,677249
28,MARUTISWIFT,MARUTI,Kolkata,2012,19042,1,Petrol,181000,346999
29,TOYOTACOROLLA ALTIS,TOYOTA,Kolkata,2013,60387,1,Petrol,181000,386099
30,VOLKSWAGENVENTO,VOLKSWAGEN,Kolkata,2019,10624,1,Petrol,169000,663999
31,RENAULTKWID,RENAULT,Kolkata,2022,1087,1,Petrol,474000,519099
32,MARUTIWAGON R 1.0,MARUTI,Kolkata,2013,76617,1,Petrol,181000,290599
33,RENAULTTRIBER,RENAULT,Kolkata,2019,3897,1,Petrol,474000,569499
34,HYUNDAIELITE I20,HYUNDAI,Kolkata,2017,19857,1,Petrol,169000,516199
35,TATATIAGO,TATA,Kolkata,2017,65546,1,Petrol,507000,354799
36,FORDECOSPORT,FORD,Kolkata,2016,70882,1,Petrol,322000,471999
37,MARUTIALTO K10,MARUTI,Kolkata,2013,38627,1,Petrol,140000,219199
38,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,23019,1,Petrol,468000,395199
39,MARUTINEW  WAGON-R,MARUTI,Kolkata,2020,19123,1,Petrol,367000,526099
40,MARUTIALTO 800,MARUTI,Kolkata,2014,34031,1,Petrol,140000,242799
41,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,16204,3,Petrol,169000,385499
42,HONDAJAZZ,HONDA,Kolkata,2016,78751,2,Diesel,102000,431699
43,MARUTICELERIO,MARUTI,Kolkata,2015,24063,1,Petrol,140000,370699
44,RENAULTKWID,RENAULT,Kolkata,2020,11999,1,Petrol,367000,412999
45,HYUNDAIXCENT,HYUNDAI,Kolkata,2018,36913,2,Petrol,169000,435599
46,MARUTISWIFT,MARUTI,Kolkata,2021,24637,1,Petrol,715000,811799
47,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2016,33053,1,Petrol,181000,385599
48,MARUTIERTIGA,MARUTI,Kolkata,2017,52930,1,Petrol,507000,673899
49,HYUNDAINEW SANTRO,HYUNDAI,Kolkata,2020,4270,1,Petrol,474000,458499
50,MARUTIALTO K10,MARUTI,Kolkata,2012,9721,1,Petrol,181000,217399
51,MAHINDRASCORPIO,MAHINDRA,Kolkata,2020,32247,1,Diesel,715000,1656099
52,MARUTIALTO,MARUTI,Kolkata,2021,2275,1,Petrol,367000,396099
53,MARUTIS PRESSO,MARUTI,Kolkata,2021,7082,1,Petrol,367000,455099
54,MARUTINEW  WAGON-R,MARUTI,Kolkata,2020,17836,1,Petrol,367000,532299
55,HYUNDAINEW I20,HYUNDAI,Kolkata,2021,2881,1,Petrol,474000,770299
56,HONDACITY,HONDA,Kolkata,2015,51900,2,Petrol,181000,506099
57,MARUTISWIFT,MARUTI,Kolkata,2015,24245,1,Petrol,181000,485099
58,SKODARAPID,SKODA,Kolkata,2013,91539,2,Petrol,102000,466299
59,MAHINDRASCORPIO,MAHINDRA,Kolkata,2021,26772,2,Diesel,715000,1643299
60,HYUNDAINEW SANTRO,HYUNDAI,Kolkata,2019,45693,1,Petrol,468000,366799
61,RENAULTKIGER,RENAULT,Kolkata,2022,4328,1,Petrol,474000,1047799
62,HYUNDAIXCENT,HYUNDAI,Kolkata,2016,84512,2,Petrol,102000,351399
63,HYUNDAIEON,HYUNDAI,Kolkata,2014,52959,1,Petrol,140000,241599
64,MARUTISWIFT,MARUTI,Kolkata,2015,37307,1,Petrol,181000,398299
65,MARUTIWAGON R 1.0,MARUTI,Kolkata,2016,33278,1,Petrol,140000,331799
66,MARUTIDZIRE,MARUTI,Kolkata,2020,17572,1,Petrol,367000,620099
67,MARUTISWIFT,MARUTI,Kolkata,2019,46282,2,Petrol,715000,560699
68,MARUTIVITARA BREZZA,MARUTI,Kolkata,2016,57569,2,Diesel,181000,631999
69,MARUTIWAGON R 1.0,MARUTI,Kolkata,2013,73462,1,Petrol,181000,288499
70,MARUTICIAZ,MARUTI,Kolkata,2015,47403,2,Petrol,181000,446298
71,MARUTISWIFT,MARUTI,Kolkata,2012,40109,1,Petrol,181000,329799
72,MARUTIDZIRE,MARUTI,Kolkata,2018,55779,1,Petrol,507000,561299
73,HYUNDAIVERNA,HYUNDAI,Kolkata,2016,62031,1,Petrol,322000,515399
74,HYUNDAIEON,HYUNDAI,Kolkata,2011,86805,1,Petrol,507000,181699
75,HYUNDAII20,HYUNDAI,Kolkata,2014,63497,2,Diesel,181000,349599
76,MARUTIALTO 800,MARUTI,Kolkata,2014,27046,1,Petrol,140000,250799
77,HONDACITY,HONDA,Kolkata,2019,13434,2,Petrol,169000,744199
78,MARUTINEW  WAGON-R,MARUTI,Kolkata,2019,12935,1,Petrol,367000,522099
79,HYUNDAICRETA,HYUNDAI,Kolkata,2018,37630,1,Diesel,370000,1098199
80,MARUTIALTO 800,MARUTI,Kolkata,2014,35823,3,Petrol,140000,228099
81,MARUTISWIFT DZIRE,MARUTI,Kolkata,2014,21391,2,Petrol,140000,429099
82,HYUNDAIXCENT,HYUNDAI,Kolkata,2019,11159,2,Petrol,169000,491799
83,MARUTIALTO K10,MARUTI,Kolkata,2018,30224,1,Petrol,169000,328999
84,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2019,27407,1,Petrol,367000,490399
85,HYUNDAICRETA,HYUNDAI,Kolkata,2019,48064,2,Petrol,715000,1108499
86,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2018,22492,1,Petrol,468000,524099
87,HYUNDAINEW SANTRO,HYUNDAI,Kolkata,2019,42119,1,Petrol,507000,438199
88,FORDECOSPORT,FORD,Kolkata,2014,38203,1,Petrol,181000,481799
89,HYUNDAIVERNA,HYUNDAI,Kolkata,2016,23847,1,Petrol,181000,524499
90,MARUTIVITARA BREZZA,MARUTI,Kolkata,2019,37427,1,Diesel,715000,918399
91,RENAULTKWID,RENAULT,Kolkata,2020,13648,1,Petrol,367000,433199
92,MARUTISWIFT,MARUTI,Kolkata,2018,25410,1,Petrol,169000,577199
93,MARUTIWAGON R 1.0,MARUTI,Kolkata,2016,28518,2,Petrol,140000,364899
94,MARUTIALTO 800,MARUTI,Kolkata,2013,45643,1,Petrol,181000,224999
95,VOLKSWAGENPOLO,VOLKSWAGEN,Kolkata,2021,11068,3,Petrol,715000,915599
96,FORDECOSPORT,FORD,Kolkata,2015,52613,2,Diesel,181000,529799
97,MARUTISWIFT,MARUTI,Kolkata,2013,70063,1,Petrol,181000,348699
98,HYUNDAINEW SANTRO,HYUNDAI,Kolkata,2020,15383,1,Petrol,474000,436399
99,HONDAAMAZE,HONDA,Kolkata,2014,30992,2,Petrol,140000,386599
100,MARUTISWIFT DZIRE,MARUTI,Kolkata,2014,47493,1,Petrol,181000,399599
101,HYUNDAIEON,HYUNDAI,Kolkata,2018,33404,1,Petrol,169000,304299
102,MARUTIBALENO,MARUTI,Kolkata,2019,67875,1,Petrol,507000,573399
103,MARUTISWIFT DZIRE,MARUTI,Kolkata,2014,76703,1,Petrol,181000,419799
104,HYUNDAICRETA,HYUNDAI,Kolkata,2018,56907,1,Diesel,315000,1115699
105,MARUTIALTO 800,MARUTI,Kolkata,2015,46994,2,Petrol,140000,254799
106,MARUTISWIFT,MARUTI,Kolkata,2015,57450,1,Petrol,181000,397099
107,MARUTIXL6,MARUTI,Kolkata,2020,9883,2,Petrol,367000,909299
108,HYUNDAINEW SANTRO,HYUNDAI,Kolkata,2019,20629,2,Petrol,367000,443299
109,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2018,52987,1,Petrol,507000,432699
110,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,15548,1,Petrol,169000,418099
111,KIASELTOS,KIA,Kolkata,2020,67419,1,Diesel,715000,1523799
112,FORDECOSPORT,FORD,Kolkata,2021,8143,1,Diesel,474000,1074499
113,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2019,25600,1,Petrol,169000,502999
114,MARUTISWIFT,MARUTI,Kolkata,2017,82858,1,Diesel,507000,432199
115,FORDECOSPORT,FORD,Kolkata,2020,15344,1,Petrol,367000,956849
116,MARUTISWIFT,MARUTI,Kolkata,2019,61909,1,Petrol,507000,487999
117,HONDAJAZZ,HONDA,Kolkata,2018,34640,1,Petrol,169000,565399
118,MARUTISWIFT,MARUTI,Kolkata,2014,29796,2,Petrol,140000,369299
119,TOYOTACOROLLA ALTIS,TOYOTA,Kolkata,2018,34316,2,Petrol,370000,1411199
120,MARUTIBALENO,MARUTI,Kolkata,2019,27137,1,Petrol,367000,589899
121,FORDECOSPORT,FORD,Kolkata,2017,69342,1,Diesel,507000,650099
122,HONDACITY,HONDA,Kolkata,2014,57030,1,Petrol,181000,506799
123,HYUNDAIELITE I20,HYUNDAI,Kolkata,2018,24062,1,Petrol,370000,553099
124,HONDACITY,HONDA,Kolkata,2019,20355,1,Petrol,474000,876699
125,MAHINDRAXUV 3OO,MAHINDRA,Kolkata,2021,15777,1,Petrol,715000,741499
126,MARUTISWIFT,MARUTI,Kolkata,2013,65033,1,Petrol,181000,347799
127,FORDECOSPORT,FORD,Kolkata,2014,74464,1,Diesel,181000,439499
128,FORDECOSPORT,FORD,Kolkata,2019,7277,1,Petrol,367000,980999
129,HYUNDAIGRAND I10 NIOS,HYUNDAI,Kolkata,2020,2818,1,Petrol,474000,650899
130,HYUNDAIVERNA,HYUNDAI,Kolkata,2019,42775,1,Diesel,507000,958999
131,HYUNDAII20,HYUNDAI,Kolkata,2014,52015,1,Petrol,181000,365199
132,HYUNDAIGRAND I10 NIOS,HYUNDAI,Kolkata,2019,2021,1,Petrol,474000,650899
133,MARUTIDZIRE,MARUTI,Kolkata,2019,8099,1,Petrol,367000,644199
134,MARUTIBALENO,MARUTI,Kolkata,2020,6119,1,Petrol,474000,827899
135,FORDECOSPORT,FORD,Kolkata,2013,59685,2,Diesel,181000,450699
136,MARUTIALTO 800,MARUTI,Kolkata,2018,10579,1,Petrol,169000,320699
137,HYUNDAICRETA,HYUNDAI,Kolkata,2018,29130,1,Petrol,370000,947599
138,HYUNDAIELITE I20,HYUNDAI,Kolkata,2015,40796,1,Petrol,181000,485799
139,HYUNDAICRETA,HYUNDAI,Kolkata,2016,27312,1,Petrol,520000,812599
140,HONDAWR-V,HONDA,Kolkata,2019,27429,1,Petrol,367000,774799
141,MAHINDRAMARAZZO,MAHINDRA,Kolkata,2021,9238,1,Diesel,474000,1188199
142,SKODARAPID,SKODA,Kolkata,2019,41352,1,Petrol,715000,746399
143,HYUNDAIXCENT,HYUNDAI,Kolkata,2018,47053,1,Petrol,507000,440599
144,HYUNDAIELITE I20,HYUNDAI,Kolkata,2018,26795,1,Petrol,169000,553099
145,HYUNDAIVENUE,HYUNDAI,Kolkata,2019,14381,1,Petrol,474000,1041199
146,MARUTIWAGON R 1.0,MARUTI,Kolkata,2016,20642,1,Petrol,140000,407499
147,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,33632,2,Petrol,370000,399299
148,MARUTISWIFT,MARUTI,Kolkata,2015,76175,1,Petrol,102000,398299
149,MARUTISWIFT,MARUTI,Kolkata,2012,85873,1,Petrol,181000,321499
150,MARUTIBALENO,MARUTI,Kolkata,2016,56814,1,Petrol,181000,510099
151,HYUNDAINEW I20,HYUNDAI,Kolkata,2021,6599,1,Petrol,474000,832199
152,MARUTIBALENO,MARUTI,Kolkata,2020,14834,1,Petrol,367000,627499
153,HONDAWR-V,HONDA,Kolkata,2019,21730,1,Petrol,367000,756099
154,HYUNDAII20 ACTIVE,HYUNDAI,Kolkata,2016,59356,2,Petrol,181000,484299
155,MARUTIALTO 800,MARUTI,Kolkata,2018,44592,1,Petrol,315000,296199
156,HONDAJAZZ,HONDA,Kolkata,2021,5745,1,Petrol,474000,931399
157,FORDECOSPORT,FORD,Kolkata,2018,54544,1,Petrol,507000,663699
158,HYUNDAIELITE I20,HYUNDAI,Kolkata,2015,53890,1,Petrol,181000,487299
159,HYUNDAIELITE I20,HYUNDAI,Kolkata,2018,91106,1,Diesel,715000,605199
160,HONDAWR-V,HONDA,Kolkata,2019,28228,1,Petrol,367000,772699
161,HONDACITY,HONDA,Kolkata,2018,31801,1,Petrol,370000,789099
162,HYUNDAIVERNA,HYUNDAI,Kolkata,2018,57604,1,Petrol,507000,744999
163,HONDACITY,HONDA,Kolkata,2019,45064,1,Petrol,715000,875599
164,MARUTIWAGON R 1.0,MARUTI,Kolkata,2017,13595,2,Petrol,169000,431899
165,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,33292,2,Petrol,140000,349499
166,MARUTIDZIRE,MARUTI,Kolkata,2018,27563,1,Petrol,169000,605299
167,FORDECOSPORT,FORD,Kolkata,2014,75658,1,Petrol,181000,551099
168,KIASONET,KIA,Kolkata,2020,20879,2,Petrol,715000,1181999
169,TATAHARRIER,TATA,Kolkata,2019,57852,1,Diesel,715000,1303999
170,FORDECOSPORT,FORD,Kolkata,2018,7659,1,Petrol,169000,724899
171,HYUNDAII20,HYUNDAI,Kolkata,2014,53121,2,Petrol,140000,374199
172,MARUTIWAGON R 1.0,MARUTI,Kolkata,2016,32694,2,Petrol,140000,382899
173,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,31315,2,Petrol,140000,351499
174,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2014,55010,2,Petrol,181000,348099
175,HYUNDAIELITE I20,HYUNDAI,Kolkata,2018,22621,1,Petrol,169000,621699
176,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2019,33016,1,Petrol,507000,498099
177,TATANEXON,TATA,Kolkata,2020,73072,1,Diesel,715000,1202399
178,HYUNDAIVENUE,HYUNDAI,Kolkata,2019,15763,1,Petrol,474000,1053099
179,MARUTIBALENO,MARUTI,Kolkata,2017,11861,2,Petrol,169000,589399
180,MARUTIDZIRE,MARUTI,Kolkata,2019,25144,1,Petrol,169000,588199
181,TATANEXON,TATA,Kolkata,2021,6555,1,Petrol,474000,1044799
182,VOLKSWAGENAMEO,VOLKSWAGEN,Kolkata,2019,27021,1,Petrol,367000,441499
183,MARUTIS PRESSO,MARUTI,Kolkata,2021,3862,1,Petrol,367000,462899
184,HYUNDAII20 ACTIVE,HYUNDAI,Kolkata,2016,50214,2,Petrol,181000,536799
185,MARUTIDZIRE,MARUTI,Kolkata,2018,60212,1,Petrol,507000,568599
186,HYUNDAIVENUE,HYUNDAI,Kolkata,2019,17838,1,Petrol,367000,1010199
187,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,19021,1,Petrol,169000,442199
188,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2014,60608,1,Petrol,181000,373399
189,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,27575,1,Petrol,169000,432199
190,MARUTIWAGON R 1.0,MARUTI,Kolkata,2013,42697,1,Petrol,181000,305699
191,HYUNDAIELITE I20,HYUNDAI,Kolkata,2014,62281,1,Petrol,181000,406599
192,HYUNDAIGRAND I10 NIOS,HYUNDAI,Kolkata,2021,3834,1,Petrol,474000,743899
193,MARUTIWAGON R 1.0,MARUTI,Kolkata,2015,63582,1,Petrol,181000,328199
194,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,17691,1,Petrol,140000,351099
195,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2019,33583,1,Petrol,507000,512299
196,MARUTIWAGON R 1.0,MARUTI,Kolkata,2014,31575,1,Petrol,140000,346099
197,MARUTIDZIRE,MARUTI,Kolkata,2019,8087,1,Petrol,474000,655699
198,RENAULTTRIBER,RENAULT,Kolkata,2019,29883,2,Petrol,367000,571899
199,HYUNDAIGRAND I10 NIOS,HYUNDAI,Kolkata,2019,12697,1,Petrol,367000,594199
200,MARUTIIGNIS,MARUTI,Kolkata,2022,2416,1,Petrol,474000,693899
201,MARUTIS CROSS,MARUTI,Kolkata,2020,11707,1,Petrol,474000,986799
202,JEEPCOMPASS,JEEP,Kolkata,2018,47631,2,Diesel,370000,1196599
203,MAHINDRAMARAZZO,MAHINDRA,Kolkata,2020,10455,1,Diesel,474000,1189999
204,MARUTIBALENO,MARUTI,Kolkata,2017,54171,2,Petrol,181000,546199
205,HYUNDAIGRAND I10 NIOS,HYUNDAI,Kolkata,2019,10820,1,Petrol,367000,650899
206,TATAHARRIER,TATA,Kolkata,2020,28807,1,Diesel,715000,1618099
207,MARUTISWIFT DZIRE,MARUTI,Kolkata,2013,83859,1,Diesel,140000,368799
208,MARUTIBALENO,MARUTI,Kolkata,2019,46309,1,Petrol,507000,612199
209,MARUTICIAZ,MARUTI,Kolkata,2020,5768,1,Petrol,474000,945899
210,MARUTIALTO,MARUTI,Kolkata,2021,7688,1,Petrol,367000,400999
211,MARUTIS PRESSO,MARUTI,Kolkata,2020,9323,2,Petrol,367000,459599
212,MARUTIBALENO,MARUTI,Kolkata,2018,24264,2,Petrol,370000,629699
213,MARUTIIGNIS,MARUTI,Kolkata,2018,12104,1,Petrol,468000,482199
214,MARUTIBALENO,MARUTI,Kolkata,2018,33269,2,Petrol,169000,603399
215,MARUTIBALENO,MARUTI,Kolkata,2021,13127,2,Petrol,507000,722399
216,HONDACITY,HONDA,Kolkata,2017,44987,2,Petrol,169000,748399
217,KIASELTOS,KIA,Kolkata,2019,25481,1,Petrol,474000,1173399
218,MGHECTOR,MG,Kolkata,2019,23953,1,Petrol,474000,1491599
219,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,42247,2,Petrol,507000,417399
220,MARUTICIAZ,MARUTI,Kolkata,2018,18779,1,Petrol,370000,668399
221,MARUTIBALENO,MARUTI,Kolkata,2018,17286,1,Petrol,169000,623999
222,MARUTIBALENO,MARUTI,Kolkata,2015,77412,1,Petrol,102000,503499
223,SKODARAPID,SKODA,Kolkata,2021,13677,1,Petrol,474000,1105999
224,MARUTIS PRESSO,MARUTI,Kolkata,2020,31651,1,Petrol,507000,451699
225,MARUTIBALENO,MARUTI,Kolkata,2020,8861,1,Petrol,367000,721399
226,MARUTIS PRESSO,MARUTI,Kolkata,2020,53958,1,Petrol,507000,446099
227,FORDECOSPORT,FORD,Kolkata,2018,25345,1,Petrol,370000,765599
228,MARUTIWAGON R 1.0,MARUTI,Kolkata,2018,66528,1,Petrol,507000,434199
229,MARUTIDZIRE,MARUTI,Kolkata,2020,15485,1,Petrol,474000,769599
230,HONDAWR-V,HONDA,Kolkata,2017,75368,1,Petrol,507000,635999
231,MARUTIALTO,MARUTI,Kolkata,2020,5557,1,Petrol,367000,406199
232,SKODARAPID,SKODA,Kolkata,2020,20786,2,Petrol,715000,956199
233,HYUNDAIXCENT,HYUNDAI,Kolkata,2018,44174,1,Petrol,507000,533299
234,MARUTIALTO,MARUTI,Kolkata,2020,11233,1,Petrol,367000,391299
235,MARUTIALTO 800,MARUTI,Kolkata,2019,10225,2,Petrol,367000,347599
236,MARUTIBALENO,MARUTI,Kolkata,2018,24747,1,Petrol,169000,618199
237,MARUTIBALENO,MARUTI,Kolkata,2018,28969,1,Petrol,169000,644599
238,MARUTIALTO,MARUTI,Kolkata,2020,53479,1,Petrol,507000,416099
239,HYUNDAIXCENT,HYUNDAI,Kolkata,2014,91259,1,Petrol,102000,345899
240,HYUNDAIXCENT,HYUNDAI,Kolkata,2014,83419,1,Petrol,102000,370999
241,MARUTIWAGON R 1.0,MARUTI,Kolkata,2017,55486,2,Petrol,507000,430199
242,HYUNDAIVENUE,HYUNDAI,Kolkata,2021,24432,1,Petrol,715000,1023399
243,MARUTIWAGON R 1.0,MARUTI,Kolkata,2015,48588,1,Petrol,181000,364999
244,MAHINDRAMARAZZO,MAHINDRA,Kolkata,2021,36089,1,Diesel,715000,1086299
245,MARUTIALTO 800,MARUTI,Kolkata,2019,29001,2,Petrol,367000,365299
246,MARUTIALTO 800,MARUTI,Kolkata,2019,32334,1,Petrol,715000,352899
247,MARUTIALTO,MARUTI,Kolkata,2020,13046,2,Petrol,367000,385999
248,MARUTIBALENO,MARUTI,Kolkata,2018,22772,1,Petrol,169000,669599
249,MARUTIALTO 800,MARUTI,Kolkata,2018,70121,1,Petrol,507000,307599
250,MARUTIALTO 800,MARUTI,Kolkata,2018,20314,1,Petrol,468000,336699
251,MARUTIALTO 800,MARUTI,Kolkata,2018,20926,1,Petrol,468000,313899
252,MARUTIS PRESSO,MARUTI,Kolkata,2019,20948,2,Petrol,367000,404399
253,MARUTIALTO K10,MARUTI,Kolkata,2018,44199,1,Petrol,507000,383899
254,MARUTIALTO,MARUTI,Kolkata,2020,32005,1,Petrol,507000,329999
255,MARUTIALTO,MARUTI,Kolkata,2020,26856,1,Petrol,507000,369199
256,HONDACITY,HONDA,Kolkata,2011,41027,1,Petrol,72000,292799
257,MARUTIALTO 800,MARUTI,Kolkata,2013,19228,1,Petrol,181000,211999
258,TATATIAGO,TATA,Kolkata,2020,10118,1,Petrol,367000,518399
259,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2016,18462,1,Petrol,181000,403899
260,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2015,49350,1,Petrol,181000,366599
261,HYUNDAIGRAND I10,HYUNDAI,Kolkata,2016,25557,1,Petrol,181000,417699
262,HONDAAMAZE,HONDA,Kolkata,2015,16443,2,Petrol,140000,335199
263,FORDECOSPORT,FORD,Kolkata,2018,38498,1,Petrol,169000,751999
264,HYUNDAII20,HYUNDAI,Kolkata,2013,69785,1,Petrol,181000,278499
265,RENAULTKWID,RENAULT,Kolkata,2021,3863,1,Petrol,367000,425799
266,MARUTISWIFT DZIRE,MARUTI,Kolkata,2013,105554,1,Petrol,2565,288699
267,MARUTIALTO K10,MARUTI,Indore,2013,39983,1,Petrol,140000,240399
268,HYUNDAIAURA,HYUNDAI,Indore,2020,4799,1,Petrol,367000,678099
269,HYUNDAIELITE I20,HYUNDAI,Indore,2020,7583,2,Petrol,367000,647199
270,MARUTISWIFT,MARUTI,Indore,2021,15905,1,Petrol,715000,693199
271,MARUTISWIFT,MARUTI,Indore,2021,20624,1,Petrol,715000,748399
272,MARUTISWIFT,MARUTI,Indore,2019,57877,1,Petrol,715000,602299
273,RENAULTKWID,RENAULT,Indore,2016,13978,1,Petrol,140000,315199
274,MGHECTOR,MG,Indore,2021,4025,1,Petrol,474000,1593399
275,HYUNDAIGRAND I10,HYUNDAI,Indore,2017,63873,1,Petrol,507000,410499
276,MARUTIALTO,MARUTI,Indore,2019,3308,1,Petrol,474000,351499
277,MARUTISWIFT,MARUTI,Indore,2018,16072,1,Petrol,370000,562199
278,MARUTICELERIO,MARUTI,Indore,2016,59919,1,Petrol,140000,429099
279,HYUNDAIGRAND I10,HYUNDAI,Indore,2016,32783,1,Petrol,181000,411499
280,MARUTIBALENO,MARUTI,Indore,2020,10902,1,Petrol,474000,666599
281,HONDAAMAZE,HONDA,Indore,2019,22139,2,Petrol,474000,631699
282,VOLKSWAGENPOLO,VOLKSWAGEN,Indore,2018,57633,1,Petrol,507000,522399
283,MAHINDRAXUV500,MAHINDRA,Indore,2018,88895,1,Diesel,715000,1596899
284,HYUNDAIELITE I20,HYUNDAI,Indore,2019,23562,1,Petrol,367000,637599
285,MARUTIWAGON R 1.0,MARUTI,Indore,2011,57780,1,Petrol,72000,281299
286,MARUTISWIFT,MARUTI,Indore,2014,84389,1,Diesel,181000,447699
287,MARUTISWIFT,MARUTI,Indore,2017,65710,1,Petrol,315000,476499
288,HONDACITY,HONDA,Indore,2018,69379,1,Petrol,715000,620399
289,MARUTIVITARA BREZZA,MARUTI,Indore,2018,93556,1,Diesel,507000,906399
290,MARUTISWIFT,MARUTI,Indore,2013,73762,1,Diesel,181000,446599
291,HONDABRIO,HONDA,Indore,2017,41797,2,Petrol,169000,372399
292,HYUNDAIXCENT,HYUNDAI,Indore,2017,64256,1,Diesel,507000,467999
293,HYUNDAIEON,HYUNDAI,Indore,2015,62917,1,Petrol,140000,297899
294,HYUNDAIGRAND I10,HYUNDAI,Indore,2017,41418,1,Petrol,169000,452799
295,MGHECTOR,MG,Indore,2021,16131,1,Petrol,715000,1720399
296,MAHINDRAKUV100,MAHINDRA,Indore,2016,28442,1,Petrol,181000,471399
297,HYUNDAIELITE I20,HYUNDAI,Indore,2020,43637,1,Petrol,715000,756199
298,MAHINDRAKUV100,MAHINDRA,Indore,2017,39258,2,Diesel,140000,390099
299,TATAHARRIER,TATA,Indore,2021,32514,1,Diesel,715000,1792699
300,HYUNDAIGRAND I10,HYUNDAI,Indore,2017,21085,1,Petrol,169000,476099
301,TATATIAGO,TATA,Indore,2016,68281,1,Petrol,468000,441199
302,HYUNDAIEON,HYUNDAI,Indore,2016,61372,1,Petrol,468000,312099
303,MARUTIALTO K10,MARUTI,Indore,2016,31916,2,Petrol,181000,327499
304,HYUNDAINEW SANTRO,HYUNDAI,Indore,2019,18754,1,Petrol,367000,477549
305,RENAULTKWID,RENAULT,Indore,2017,62204,1,Petrol,468000,338899
306,HYUNDAIGRAND I10,HYUNDAI,Indore,2015,83840,1,Petrol,102000,400699
307,TOYOTAGLANZA,TOYOTA,Indore,2022,12575,1,Petrol,715000,915299
308,RENAULTTRIBER,RENAULT,Indore,2020,25269,2,Petrol,507000,704499
309,HONDACITY,HONDA,Indore,2019,20059,1,Petrol,367000,1033499
310,RENAULTKWID,RENAULT,Indore,2018,43135,2,Petrol,468000,367199
311,MARUTIBALENO,MARUTI,Indore,2018,41498,2,Petrol,507000,510199
